"year","country","school_id","student_id","mother_educ","father_educ","gender","computer","internet","math","read","science","stu_wgt","desk","room","dishwasher","television","computer_n","car","book","wealth","escs"
2022,"MEX","48400143",48402745,"ISCED 1","ISCED 1","male","no","no",437.899,392.755,396.936,351.7204,NA,"no",NA,"1","0","0","11-25",NA,-3.3946
2022,"MEX","48400266",48402746,"ISCED 3B, C","ISCED 3B, C","female","yes","yes",524.965,533.377,519.307,238.5986,NA,"no",NA,"2","0","3+","101-200",NA,0.7529
2022,"MEX","48400086",48402747,"ISCED 3A","ISCED 3A","male","yes","yes",368.012,345.478,385.948,446.8191,NA,"no",NA,"2","1","2","11-25",NA,-0.5476
2022,"MEX","48400262",48402748,"ISCED 2","ISCED 1","male","no","no",373.6,334.516,421.014,198.5455,NA,"no",NA,"1","0","0","11-25",NA,-3.212
2022,"MEX","48400027",48402749,"ISCED 3A","ISCED 3A","female","yes","no",389.986,413.547,356.348,139.7339,NA,"no",NA,"1","1","0","11-25",NA,-1.8759
2022,"MEX","48400266",48402750,"ISCED 2","ISCED 3A","male","yes","yes",413.508,496.99,446.156,200.9251,NA,"no",NA,"1","0","0","101-200",NA,-0.2518
2022,"MEX","48400029",48402751,"ISCED 2","ISCED 3A","female","yes","yes",347.145,385.515,381.757,290.7493,NA,"no",NA,"1","0","1","26-100",NA,-0.8147
2022,"MEX","48400187",48402752,"ISCED 3A","ISCED 1","female","yes","no",306.255,342.647,356.351,159.2549,NA,"yes",NA,"1","1","1","11-25",NA,-1.5843
2022,"MEX","48400142",48402753,"ISCED 3A","ISCED 3A","female","yes","yes",377.55,380.549,353.697,243.1347,NA,"yes",NA,"1","1","1","201-500",NA,-0.5425
2022,"MEX","48400001",48402754,"ISCED 3A","ISCED 1","male","yes","yes",399.975,354.866,410.435,238.5801,NA,"yes",NA,"1","1","3+","11-25",NA,-1.2974
2022,"MEX","48400114",48402755,"ISCED 2","ISCED 2","male","yes","yes",357.806,427.101,412.841,273.8999,NA,"no",NA,"2","0","2","0-10",NA,-1.5625
