"year","country","school_id","fund_gov","fund_fees","fund_donation","enrol_boys","enrol_girls","stratio","public_private","staff_shortage","sch_wgt","school_size"
2022,"MEX","48400228",80,20,0,905,953,NA,"2",NA,NA,1858
2022,"MEX","48400229",70,30,0,469,402,32.2592592592593,"2",1,NA,871
2022,"MEX","48400230",0,100,0,4,13,NA,"1",NA,NA,17
2022,"MEX","48400231",100,0,0,275,329,19.4838709677419,"2",1,NA,604
2022,"MEX","48400232",0,100,0,136,120,13.4736842105263,"2",1,NA,256
2022,"MEX","48400233",99,1,0,145,142,31.8888888888889,"2",NA,NA,287
2022,"MEX","48400234",100,0,0,59,35,NA,"2",NA,NA,94
2022,"MEX","48400235",NA,NA,NA,21,20,NA,"2",NA,NA,41
2022,"MEX","48400236",0,100,0,36,36,NA,"1",NA,NA,72
2022,"MEX","48400237",0,100,0,336,400,13.1428571428571,"2",1,NA,736
2022,"MEX","48400238",0,100,0,375,353,12.7719298245614,"2",0,NA,728
2022,"MEX","48400239",80,5,5,765,871,21.2467532467532,"2",0,NA,1636
2022,"MEX","48400241",0,100,0,194,228,NA,"2",NA,NA,422
2022,"MEX","48400242",85,15,0,33,25,NA,"2",NA,NA,58
2022,"MEX","48400243",10,90,0,286,140,14.2,"2",0.866666666666667,NA,426
2022,"MEX","48400244",0,100,0,546,685,32.3947368421053,"2",1,NA,1231
2022,"MEX","48400245",5,95,0,208,172,NA,"2",NA,NA,380
2022,"MEX","48400246",NA,100,NA,13,15,2.8,"1",NA,NA,28
2022,"MEX","48400247",0,100,0,307,339,NA,"2",NA,NA,646
2022,"MEX","48400248",75,25,0,17,12,NA,"2",NA,NA,29
2022,"MEX","48400249",0,100,0,234,243,22.7142857142857,"2",0,NA,477
2022,"MEX","48400250",0,100,0,152,144,NA,"2",NA,NA,296
2022,"MEX","48400251",0,100,0,15,10,8.33333333333333,"2",1,NA,25
2022,"MEX","48400252",0,100,0,815,765,18.1609195402299,"2",1,NA,1580
2022,"MEX","48400253",60,35,5,251,265,NA,"2",NA,NA,516
2022,"MEX","48400254",100,0,0,728,550,25.56,"2",0.32,NA,1278
2022,"MEX","48400255",0,100,0,360,361,26.7037037037037,"2",0,NA,721
2022,"MEX","48400256",20,80,0,39,41,NA,"2",NA,NA,80
2022,"MEX","48400257",1,99,0,2022,2013,39.5588235294118,"2",0.0392156862745098,NA,4035
